"16S only, denoised at min 2 in 3 samples",,,,,,,,,,,,,,,,,,158467,206681,181082,168401,111077,203351,177990,170543,145921,153353,233981,202631,149780,166891,165319,138779,171836,155774,135098,173856,82164,156041,162019,159630,166255,138272,183165,147117,115912,157426,157360,169980,161625,178003,187345,146308,133363,162367,176380,180544,157684,159480,156972,123352,5892,137676,192787,169330,126344,151068,160811,137133,121281,12068,160425,122786,181419,163971,193081,155221,147915,195968,190797,179031,156706,136638,166636,134611,123999,156706,8830,14122,155245,101431,148757,136114,93889,151320,169773,160952,187849,158215,168156,156205,125669,182794,196914,188296,180925,171097,187997,176370,154359,209405,5002,164882,175089,162289,190488,178892,149058,199270,180434,165387,146406,79168,24011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU,Size,RDP classification,,,,,,,,,,,,Confidence,Species,Match%,Match#,VAN001_S1,VAN002_S2,VAN003_S3,VAN004_S4,VAN005_S5,VAN006_S6,VAN007_S7,VAN008_S8,VAN009_S9,VAN010_S10,VAN011_S11,VAN012_S12,VAN013_S13,VAN014_S14,VAN015_S15,VAN016_S16,VAN017_S17,VAN018_S18,VAN019_S19,VAN020_S20,VAN021_S21,VAN022_S22,VAN023_S23,VAN024_S24,VAN025_S25,VAN026_S26,VAN027_S27,VAN028_S28,VAN029_S29,VAN030_S30,VAN031_S31,VAN032_S32,VAN033_S33,VAN034_S34,VAN035_S35,VAN036_S36,VAN037_S37,VAN038_S38,VAN039_S39,VAN040_S40,VAN041_S41,VAN042_S42,VAN043_S43,VAN044_S44,VAN045_S45,VAN046_S46,VAN047_S47,VAN048_S48,VAN049_S49,VAN050_S50,VAN051_S51,VAN052_S52,VAN053_S53,VAN054_S54,VAN055_S55,VAN056_S56,VAN057_S57,VAN058_S58,VAN059_S59,VAN060_S60,VAN061_S61,VAN062_S62,VAN063_S63,VAN064_S64,VAN065_S65,VAN066_S66,VAN067_S67,VAN068_S68,VAN069_S69,VAN070_S70,VAN071_S71,VAN072_S72,VAN073_S73,VAN074_S74,VAN075_S75,VAN076_S76,VAN077_S77,VAN078_S78,VAN079_S79,VAN080_S80,VAN081_S81,VAN082_S82,VAN083_S83,VAN084_S84,VAN085_S85,VAN086_S86,VAN087_S87,VAN088_S88,VAN089_S89,VAN090_S90,VAN091_S91,VAN092_S92,VAN093_S93,VAN094_S94,VAN095_S95,VAN096_S96,VAN097_S97,VAN098_S98,VAN099_S99,VAN100_S100,VAN101_S101,VAN102_S102,VAN103_S103,VAN104_S104,VAN105_S105,VAN106_S106,VAN107_S107
OTU_1,695946,Root,Bacteria,Firmicutes,.,Clostridia,.,Clostridiales,.,Lachnospiraceae,.,Roseburia,.,0.97,Eubacterium_rectale_(T)_(L34627),98.6,1,20066,19028,3017,7509,15191,12614,9445,5813,13820,13106,260,385,4224,4740,3202,1646,23362,17634,373,669,7773,6678,9526,7454,151,195,10813,5295,106,529,12772,14413,2082,2076,1315,1204,1341,1708,6932,7069,10409,6197,962,389,454,6713,15785,10747,11147,5627,4200,3182,3736,672,6893,12694,2868,6969,19047,9690,18581,7149,22178,18324,186,3913,4133,2547,1230,17792,701,166,559,9883,5822,8437,4767,128,201,8909,6630,189,408,12973,11919,1904,1841,1594,1329,1609,1673,6525,4884,14372,361,1103,630,12301,6054,15301,10180,12718,6503,5213,3286,3683,1240
OTU_2,618769,Root,Bacteria,Bacteroidetes,.,Bacteroidia,.,Bacteroidales,.,Bacteroidaceae,.,Bacteroides,.,1,Bacteroides_dorei_(T)_JCM_13471;_175_(AB242142),98.3,2,399,14470,1102,8134,1255,7948,761,3060,4080,30359,798,23043,4784,9118,1023,2400,661,8135,648,12441,250,8314,2001,13204,428,3721,4543,7630,2052,13440,1126,18862,2049,7109,740,5663,1100,1671,12549,26487,2159,7696,2061,6238,472,1183,3030,15213,157,4440,3005,5554,9035,1309,809,8922,868,9216,2139,6486,184,3598,9896,29868,1746,4254,10326,1140,2416,351,592,131,10093,425,6863,2507,9514,140,3088,3549,9207,3766,14618,4767,14179,2581,6866,899,8067,708,2375,14444,25904,3260,423,3987,8014,82,1893,2453,12455,244,5130,1374,5980,4994,1868
OTU_5,596150,Root,Bacteria,Firmicutes,.,Clostridia,.,Clostridiales,.,Ruminococcaceae,.,Faecalibacterium,.,0.94,Faecalibacterium_prausnitzii_(T)_ATCC_27768_(AJ413954),97.6,1,8398,11013,5099,7517,8073,11598,9744,7620,9674,6036,559,5805,6794,6846,5810,5978,6490,4210,3314,6707,8753,5954,9501,6199,464,2194,6184,4647,4147,8814,10423,5433,4975,3618,8485,7920,578,3782,6365,3336,7956,9934,5614,4722,380,2759,5444,7530,2117,2877,2657,1555,3421,729,8118,4916,4534,6062,10565,8552,6489,8081,10274,6183,805,6018,5717,5160,6016,5835,551,479,6420,8060,5287,9728,5213,193,2181,5369,5997,7897,8512,10968,4295,5764,4525,7996,9941,670,4536,6655,3079,11380,338,7533,7216,180,3482,7579,8205,2331,3742,3158,1888,3188,1537
OTU_3,590072,Root,Bacteria,Actinobacteria,.,Actinobacteria,Coriobacteridae,Coriobacteriales,Coriobacterineae,Coriobacteriaceae,.,Collinsella,.,1,Collinsella_aerofaciens_strain_JCM_10188_(NR_113316.1),98.6,1,19403,11621,4783,1762,1885,771,18787,6155,31,24,11424,3031,6402,5588,945,334,7499,4881,41,4,5,9,17507,12616,11005,3009,2508,1124,6,13,11648,8931,6315,1679,9231,3489,16503,10202,8,3,2815,314,11371,4356,12,3408,5,27,22061,18410,19,1,2465,29,17359,5491,5339,2029,5839,558,16107,6884,7,21,7237,5925,5061,684,279,8403,10,13,7,14,6,12301,4765,11113,4736,2169,1376,7,0,12132,6112,7614,2222,10972,4241,20872,10834,5,8,3712,16,9879,6322,15939,4206,4,30,43720,20237,2,169,586,23
OTU_4,504912,Root,Bacteria,Bacteroidetes,.,Bacteroidia,.,Bacteroidales,.,Prevotellaceae,.,Prevotella,.,1,Prevotella_copri_(T)_CB7_(AB064923),98.6,1,5,5,2,11,21211,75451,3139,37462,1,25,356,4348,23,6,2084,9945,2,5,168,44605,2,14,21,3,4,5,3,9,8,8,2,79,5,6,459,10781,135,10769,4,0,1664,6307,2,7,4,2,1,158,303,22747,69,17,1192,18,3440,8,8,3,32414,56153,10,42685,13,21,519,10,3,2327,9152,5,4,27,38551,6,4,8,2,8,6,3,5,5,5,6,1,11,3,379,14978,105,18045,8,4,2269,18,5,3,2,0,10,2,496,28671,4,0,741,84
OTU_7,460242,Root,Bacteria,Firmicutes,.,Clostridia,.,Clostridiales,.,Lachnospiraceae,.,Blautia,.,1,Blautia_luti_strain_DSM_14534_(NR_114315.1),98.6,2,8014,2727,4779,965,4698,1720,11640,4388,3922,535,978,242,3512,1743,5510,1468,8000,1713,18994,1378,7362,4249,5227,1938,1691,487,5105,2267,10057,1827,10095,627,7909,1476,10589,2314,2571,2372,13728,4600,2679,198,3661,750,216,1869,8185,3509,7965,1748,12806,3304,885,508,10023,1970,5472,890,10698,1020,7969,5521,5153,758,635,3207,1199,3919,1125,7252,357,1703,1872,11174,4469,4361,1104,1417,575,4425,2507,10257,1662,7079,347,8149,1930,10421,2533,3639,2452,12456,3038,4023,214,3748,1324,7851,2175,7769,3008,12019,2476,14463,3021,930,783
OTU_8,431165,Root,Bacteria,Firmicutes,.,Clostridia,.,Clostridiales,.,Lachnospiraceae,.,Fusicatenibacter,.,0.96,Fusicatenibacter_saccharivorans_HT03-11_(AB698910),98.6,1,3251,3224,5927,3595,2053,1112,3252,1285,9157,5696,1379,357,2474,1290,315,202,3338,2462,269,101,6714,6656,1620,1194,466,477,4871,2420,8624,8844,16093,13047,11407,5522,5059,2457,1011,1064,6806,5741,2279,435,5226,2778,123,3554,5635,3983,4346,3058,9225,5588,827,331,3293,2997,6385,3676,4202,897,4406,1681,14141,9705,965,2121,935,298,146,2894,299,64,109,9506,7850,1658,770,601,615,3789,2527,9948,7878,12181,8640,11325,6671,4748,2658,1259,1343,6208,3974,3560,147,5657,4410,8182,4644,5818,3404,5393,3496,9115,4428,852,476
